model,size,suite,refusal_enabled,refusal_label,task,role,correct,E_count,invalid,total,accuracy_percentage
qwen3,8B,default,0,,class,class expert,6,0,39,45,13.33
qwen3,8B,default,0,,class,non class expert,5,0,40,45,11.11
qwen3,8B,default,0,,class,class student,5,0,40,45,11.11
qwen3,8B,default,0,,class,person,6,0,39,45,13.33
qwen3,8B,default,0,,clinical knowledge,clinical knowledge expert,37,0,35,72,51.39
qwen3,8B,default,0,,clinical knowledge,non clinical knowledge expert,39,0,33,72,54.17
qwen3,8B,default,0,,clinical knowledge,clinical knowledge student,37,0,35,72,51.39
qwen3,8B,default,0,,clinical knowledge,person,35,0,37,72,48.61
qwen3,8B,default,0,,college biology,college biology expert,45,0,34,79,56.96
qwen3,8B,default,0,,college biology,non college biology expert,42,0,37,79,53.16
qwen3,8B,default,0,,college biology,college biology student,43,0,36,79,54.43
qwen3,8B,default,0,,college biology,person,41,0,38,79,51.9
qwen3,8B,default,0,,college chemistry,college chemistry expert,21,0,42,63,33.33
qwen3,8B,default,0,,college chemistry,non college chemistry expert,21,0,42,63,33.33
qwen3,8B,default,0,,college chemistry,college chemistry student,20,0,43,63,31.75
qwen3,8B,default,0,,college chemistry,person,20,0,43,63,31.75
qwen3,8B,default,0,,college computer science,college computer science expert,36,0,40,76,47.37
qwen3,8B,default,0,,college computer science,non college computer science expert,35,0,41,76,46.05
qwen3,8B,default,0,,college computer science,college computer science student,37,0,39,76,48.68
qwen3,8B,default,0,,college computer science,person,34,0,42,76,44.74
qwen3,8B,default,0,,college mathematics,college mathematics expert,24,0,50,74,32.43
qwen3,8B,default,0,,college mathematics,non college mathematics expert,21,0,53,74,28.38
qwen3,8B,default,0,,college mathematics,college mathematics student,23,0,51,74,31.08
qwen3,8B,default,0,,college mathematics,person,21,0,53,74,28.38
qwen3,8B,default,0,,college medicine,college medicine expert,29,0,19,48,60.42
qwen3,8B,default,0,,college medicine,non college medicine expert,29,0,19,48,60.42
qwen3,8B,default,0,,college medicine,college medicine student,29,0,19,48,60.42
qwen3,8B,default,0,,college medicine,person,30,0,18,48,62.5
qwen3,8B,default,0,,college physics,college physics expert,27,0,41,68,39.71
qwen3,8B,default,0,,college physics,non college physics expert,24,0,44,68,35.29
qwen3,8B,default,0,,college physics,college physics student,26,0,42,68,38.24
qwen3,8B,default,0,,college physics,person,24,0,44,68,35.29
qwen3,8B,default,0,,computer security,computer security expert,24,0,22,46,52.17
qwen3,8B,default,0,,computer security,non computer security expert,23,0,23,46,50.0
qwen3,8B,default,0,,computer security,computer security student,25,0,21,46,54.35
qwen3,8B,default,0,,computer security,person,24,0,22,46,52.17
qwen3,8B,default,0,,conceptual physics,conceptual physics expert,83,0,53,136,61.03
qwen3,8B,default,0,,conceptual physics,non conceptual physics expert,79,0,57,136,58.09
qwen3,8B,default,0,,conceptual physics,conceptual physics student,81,0,55,136,59.56
qwen3,8B,default,0,,conceptual physics,person,83,0,53,136,61.03
qwen3,8B,default,0,,diff,diff expert,14,0,36,50,28.0
qwen3,8B,default,0,,diff,non diff expert,13,0,37,50,26.0
qwen3,8B,default,0,,diff,diff student,13,0,37,50,26.0
qwen3,8B,default,0,,diff,person,13,0,37,50,26.0
qwen3,8B,default,0,,econometrics,econometrics expert,39,0,46,85,45.88
qwen3,8B,default,0,,econometrics,non econometrics expert,38,0,47,85,44.71
qwen3,8B,default,0,,econometrics,econometrics student,39,0,46,85,45.88
qwen3,8B,default,0,,econometrics,person,38,0,47,85,44.71
qwen3,8B,default,0,,electrical engineering,electrical engineering expert,27,0,40,67,40.3
qwen3,8B,default,0,,electrical engineering,non electrical engineering expert,26,0,41,67,38.81
qwen3,8B,default,0,,electrical engineering,electrical engineering student,29,0,38,67,43.28
qwen3,8B,default,0,,electrical engineering,person,26,0,41,67,38.81
qwen3,8B,default,0,,elementary mathematics,elementary mathematics expert,153,0,151,304,50.33
qwen3,8B,default,0,,elementary mathematics,non elementary mathematics expert,152,0,152,304,50.0
qwen3,8B,default,0,,elementary mathematics,elementary mathematics student,150,0,154,304,49.34
qwen3,8B,default,0,,elementary mathematics,person,150,0,154,304,49.34
qwen3,8B,default,0,,formal logic,formal logic expert,39,0,59,98,39.8
qwen3,8B,default,0,,formal logic,non formal logic expert,38,0,60,98,38.78
qwen3,8B,default,0,,formal logic,formal logic student,39,0,59,98,39.8
qwen3,8B,default,0,,formal logic,person,38,0,60,98,38.78
qwen3,8B,default,0,,fund,fund expert,11,0,56,67,16.42
qwen3,8B,default,0,,fund,non fund expert,12,0,55,67,17.91
qwen3,8B,default,0,,fund,fund student,11,0,56,67,16.42
qwen3,8B,default,0,,fund,person,11,0,56,67,16.42
qwen3,8B,default,0,,global facts,global facts expert,16,0,68,84,19.05
qwen3,8B,default,0,,global facts,non global facts expert,18,0,66,84,21.43
qwen3,8B,default,0,,global facts,global facts student,15,0,69,84,17.86
qwen3,8B,default,0,,global facts,person,18,0,66,84,21.43
qwen3,8B,default,0,,high school biology,high school biology expert,101,0,39,140,72.14
qwen3,8B,default,0,,high school biology,non high school biology expert,96,0,44,140,68.57
qwen3,8B,default,0,,high school biology,high school biology student,99,0,41,140,70.71
qwen3,8B,default,0,,high school biology,person,96,0,44,140,68.57
qwen3,8B,default,0,,high school chemistry,high school chemistry expert,57,0,58,115,49.57
qwen3,8B,default,0,,high school chemistry,non high school chemistry expert,58,0,57,115,50.43
qwen3,8B,default,0,,high school chemistry,high school chemistry student,59,0,56,115,51.3
qwen3,8B,default,0,,high school chemistry,person,60,0,55,115,52.17
qwen3,8B,default,0,,high school computer science,high school computer science expert,38,0,24,62,61.29
qwen3,8B,default,0,,high school computer science,non high school computer science expert,38,0,24,62,61.29
qwen3,8B,default,0,,high school computer science,high school computer science student,37,0,25,62,59.68
qwen3,8B,default,0,,high school computer science,person,39,0,23,62,62.9
qwen3,8B,default,0,,high school european history,high school european history expert,18,0,51,69,26.09
qwen3,8B,default,0,,high school european history,non high school european history expert,19,0,50,69,27.54
qwen3,8B,default,0,,high school european history,high school european history student,17,0,52,69,24.64
qwen3,8B,default,0,,high school european history,person,22,0,47,69,31.88
qwen3,8B,default,0,,high school geography,high school geography expert,36,0,29,65,55.38
qwen3,8B,default,0,,high school geography,non high school geography expert,35,0,30,65,53.85
qwen3,8B,default,0,,high school geography,high school geography student,34,0,31,65,52.31
qwen3,8B,default,0,,high school geography,person,35,0,30,65,53.85
qwen3,8B,default,0,,high school government and politics,high school government and politics expert,34,0,17,51,66.67
qwen3,8B,default,0,,high school government and politics,non high school government and politics expert,35,0,16,51,68.63
qwen3,8B,default,0,,high school government and politics,high school government and politics student,31,0,20,51,60.78
qwen3,8B,default,0,,high school government and politics,person,32,0,19,51,62.75
qwen3,8B,default,0,,high school macroeconomics,high school macroeconomics expert,113,0,103,216,52.31
qwen3,8B,default,0,,high school macroeconomics,non high school macroeconomics expert,110,0,106,216,50.93
qwen3,8B,default,0,,high school macroeconomics,high school macroeconomics student,112,0,104,216,51.85
qwen3,8B,default,0,,high school macroeconomics,person,113,0,103,216,52.31
qwen3,8B,default,0,,high school mathematics,high school mathematics expert,52,0,190,242,21.49
qwen3,8B,default,0,,high school mathematics,non high school mathematics expert,54,0,188,242,22.31
qwen3,8B,default,0,,high school mathematics,high school mathematics student,53,0,189,242,21.9
qwen3,8B,default,0,,high school mathematics,person,56,0,186,242,23.14
qwen3,8B,default,0,,high school microeconomics,high school microeconomics expert,89,0,54,143,62.24
qwen3,8B,default,0,,high school microeconomics,non high school microeconomics expert,89,0,54,143,62.24
qwen3,8B,default,0,,high school microeconomics,high school microeconomics student,92,0,51,143,64.34
qwen3,8B,default,0,,high school microeconomics,person,89,0,54,143,62.24
qwen3,8B,default,0,,high school physics,high school physics expert,55,0,72,127,43.31
qwen3,8B,default,0,,high school physics,non high school physics expert,50,0,77,127,39.37
qwen3,8B,default,0,,high school physics,high school physics student,55,0,72,127,43.31
qwen3,8B,default,0,,high school physics,person,53,0,74,127,41.73
qwen3,8B,default,0,,high school psychology,high school psychology expert,92,0,77,169,54.44
qwen3,8B,default,0,,high school psychology,non high school psychology expert,91,0,78,169,53.85
qwen3,8B,default,0,,high school psychology,high school psychology student,92,0,77,169,54.44
qwen3,8B,default,0,,high school psychology,person,93,0,76,169,55.03
qwen3,8B,default,0,,high school statistics,high school statistics expert,65,0,78,143,45.45
qwen3,8B,default,0,,high school statistics,non high school statistics expert,63,0,80,143,44.06
qwen3,8B,default,0,,high school statistics,high school statistics student,67,0,76,143,46.85
qwen3,8B,default,0,,high school statistics,person,64,0,79,143,44.76
qwen3,8B,default,0,,high school us history,high school us history expert,25,0,58,83,30.12
qwen3,8B,default,0,,high school us history,non high school us history expert,26,0,57,83,31.33
qwen3,8B,default,0,,high school us history,high school us history student,26,0,57,83,31.33
qwen3,8B,default,0,,high school us history,person,27,0,56,83,32.53
qwen3,8B,default,0,,high school world history,high school world history expert,43,0,41,84,51.19
qwen3,8B,default,0,,high school world history,non high school world history expert,41,0,43,84,48.81
qwen3,8B,default,0,,high school world history,high school world history student,40,0,44,84,47.62
qwen3,8B,default,0,,high school world history,person,43,0,41,84,51.19
qwen3,8B,default,0,,human aging,human aging expert,33,0,53,86,38.37
qwen3,8B,default,0,,human aging,non human aging expert,30,0,56,86,34.88
qwen3,8B,default,0,,human aging,human aging student,32,0,54,86,37.21
qwen3,8B,default,0,,human aging,person,30,0,56,86,34.88
qwen3,8B,default,0,,human sexuality,human sexuality expert,21,0,32,53,39.62
qwen3,8B,default,0,,human sexuality,non human sexuality expert,21,0,32,53,39.62
qwen3,8B,default,0,,human sexuality,human sexuality student,22,0,31,53,41.51
qwen3,8B,default,0,,human sexuality,person,21,0,32,53,39.62
qwen3,8B,default,0,,international law,international law expert,21,0,34,55,38.18
qwen3,8B,default,0,,international law,non international law expert,20,0,35,55,36.36
qwen3,8B,default,0,,international law,international law student,18,0,37,55,32.73
qwen3,8B,default,0,,international law,person,19,0,36,55,34.55
qwen3,8B,default,0,,jurisprudence,jurisprudence expert,17,0,26,43,39.53
qwen3,8B,default,0,,jurisprudence,non jurisprudence expert,17,0,26,43,39.53
qwen3,8B,default,0,,jurisprudence,jurisprudence student,17,0,26,43,39.53
qwen3,8B,default,0,,jurisprudence,person,17,0,26,43,39.53
qwen3,8B,default,0,,logical fallacies,logical fallacies expert,40,0,33,73,54.79
qwen3,8B,default,0,,logical fallacies,non logical fallacies expert,33,0,40,73,45.21
qwen3,8B,default,0,,logical fallacies,logical fallacies student,43,0,30,73,58.9
qwen3,8B,default,0,,logical fallacies,person,39,0,34,73,53.42
qwen3,8B,default,0,,machine learning,machine learning expert,32,0,58,90,35.56
qwen3,8B,default,0,,machine learning,non machine learning expert,32,0,58,90,35.56
qwen3,8B,default,0,,machine learning,machine learning student,31,0,59,90,34.44
qwen3,8B,default,0,,machine learning,person,32,0,58,90,35.56
qwen3,8B,default,0,,management,management expert,22,0,15,37,59.46
qwen3,8B,default,0,,management,non management expert,20,0,17,37,54.05
qwen3,8B,default,0,,management,management student,21,0,16,37,56.76
qwen3,8B,default,0,,management,person,22,0,15,37,59.46
qwen3,8B,default,0,,marketing,marketing expert,43,0,32,75,57.33
qwen3,8B,default,0,,marketing,non marketing expert,42,0,33,75,56.0
qwen3,8B,default,0,,marketing,marketing student,41,0,34,75,54.67
qwen3,8B,default,0,,marketing,person,40,0,35,75,53.33
qwen3,8B,default,0,,matter,matter expert,6,0,41,47,12.77
qwen3,8B,default,0,,matter,non matter expert,8,0,39,47,17.02
qwen3,8B,default,0,,matter,matter student,9,0,38,47,19.15
qwen3,8B,default,0,,matter,person,6,0,41,47,12.77
qwen3,8B,default,0,,medical genetics,medical genetics expert,36,0,18,54,66.67
qwen3,8B,default,0,,medical genetics,non medical genetics expert,36,0,18,54,66.67
qwen3,8B,default,0,,medical genetics,medical genetics student,37,0,17,54,68.52
qwen3,8B,default,0,,medical genetics,person,37,0,17,54,68.52
qwen3,8B,default,0,,miscellaneous,miscellaneous expert,138,0,127,265,52.08
qwen3,8B,default,0,,miscellaneous,non miscellaneous expert,137,0,128,265,51.7
qwen3,8B,default,0,,miscellaneous,miscellaneous student,135,0,130,265,50.94
qwen3,8B,default,0,,miscellaneous,person,131,0,134,265,49.43
qwen3,8B,default,0,,moral disputes,moral disputes expert,41,0,98,139,29.5
qwen3,8B,default,0,,moral disputes,non moral disputes expert,43,0,96,139,30.94
qwen3,8B,default,0,,moral disputes,moral disputes student,44,0,95,139,31.65
qwen3,8B,default,0,,moral disputes,person,43,0,96,139,30.94
qwen3,8B,default,0,,nutrition,nutrition expert,102,0,77,179,56.98
qwen3,8B,default,0,,nutrition,non nutrition expert,103,0,76,179,57.54
qwen3,8B,default,0,,nutrition,nutrition student,103,0,76,179,57.54
qwen3,8B,default,0,,nutrition,person,100,0,79,179,55.87
qwen3,8B,default,0,,philosophy,philosophy expert,45,0,85,130,34.62
qwen3,8B,default,0,,philosophy,non philosophy expert,51,0,79,130,39.23
qwen3,8B,default,0,,philosophy,philosophy student,52,0,78,130,40.0
qwen3,8B,default,0,,philosophy,person,47,0,83,130,36.15
qwen3,8B,default,0,,prehistory,prehistory expert,76,0,69,145,52.41
qwen3,8B,default,0,,prehistory,non prehistory expert,75,0,70,145,51.72
qwen3,8B,default,0,,prehistory,prehistory student,74,0,71,145,51.03
qwen3,8B,default,0,,prehistory,person,77,0,68,145,53.1
qwen3,8B,default,0,,professional accounting,professional accounting expert,60,0,135,195,30.77
qwen3,8B,default,0,,professional accounting,non professional accounting expert,61,0,134,195,31.28
qwen3,8B,default,0,,professional accounting,professional accounting student,62,0,133,195,31.79
qwen3,8B,default,0,,professional accounting,person,56,0,139,195,28.72
qwen3,8B,default,0,,professional law,professional law expert,268,0,735,1003,26.72
qwen3,8B,default,0,,professional law,non professional law expert,249,0,754,1003,24.83
qwen3,8B,default,0,,professional law,professional law student,264,0,739,1003,26.32
qwen3,8B,default,0,,professional law,person,257,0,746,1003,25.62
qwen3,8B,default,0,,professional medicine,professional medicine expert,151,0,103,254,59.45
qwen3,8B,default,0,,professional medicine,non professional medicine expert,149,0,105,254,58.66
qwen3,8B,default,0,,professional medicine,professional medicine student,153,0,101,254,60.24
qwen3,8B,default,0,,professional medicine,person,154,0,100,254,60.63
qwen3,8B,default,0,,professional psychology,professional psychology expert,137,0,187,324,42.28
qwen3,8B,default,0,,professional psychology,non professional psychology expert,141,0,183,324,43.52
qwen3,8B,default,0,,professional psychology,professional psychology student,140,0,184,324,43.21
qwen3,8B,default,0,,professional psychology,person,135,0,189,324,41.67
qwen3,8B,default,0,,public relations,public relations expert,17,0,35,52,32.69
qwen3,8B,default,0,,public relations,non public relations expert,14,0,38,52,26.92
qwen3,8B,default,0,,public relations,public relations student,16,0,36,52,30.77
qwen3,8B,default,0,,public relations,person,18,0,34,52,34.62
qwen3,8B,default,0,,quan,quan expert,7,0,25,32,21.88
qwen3,8B,default,0,,quan,non quan expert,7,0,25,32,21.88
qwen3,8B,default,0,,quan,quan student,7,0,25,32,21.88
qwen3,8B,default,0,,quan,person,8,0,24,32,25.0
qwen3,8B,default,0,,security studies,security studies expert,37,0,50,87,42.53
qwen3,8B,default,0,,security studies,non security studies expert,32,0,55,87,36.78
qwen3,8B,default,0,,security studies,security studies student,39,0,48,87,44.83
qwen3,8B,default,0,,security studies,person,36,0,51,87,41.38
qwen3,8B,default,0,,sociology,sociology expert,22,0,30,52,42.31
qwen3,8B,default,0,,sociology,non sociology expert,19,0,33,52,36.54
qwen3,8B,default,0,,sociology,sociology student,24,0,28,52,46.15
qwen3,8B,default,0,,sociology,person,20,0,32,52,38.46
qwen3,8B,default,0,,stat,stat expert,19,0,52,71,26.76
qwen3,8B,default,0,,stat,non stat expert,20,0,51,71,28.17
qwen3,8B,default,0,,stat,stat student,18,0,53,71,25.35
qwen3,8B,default,0,,stat,person,21,0,50,71,29.58
qwen3,8B,default,0,,thermo,thermo expert,15,0,40,55,27.27
qwen3,8B,default,0,,thermo,non thermo expert,12,0,43,55,21.82
qwen3,8B,default,0,,thermo,thermo student,14,0,41,55,25.45
qwen3,8B,default,0,,thermo,person,12,0,43,55,21.82
qwen3,8B,default,0,,us foreign policy,us foreign policy expert,8,0,12,20,40.0
qwen3,8B,default,0,,us foreign policy,non us foreign policy expert,7,0,13,20,35.0
qwen3,8B,default,0,,us foreign policy,us foreign policy student,7,0,13,20,35.0
qwen3,8B,default,0,,us foreign policy,person,7,0,13,20,35.0
qwen3,8B,default,0,,virology,virology expert,24,0,22,46,52.17
qwen3,8B,default,0,,virology,non virology expert,23,0,23,46,50.0
qwen3,8B,default,0,,virology,virology student,24,0,22,46,52.17
qwen3,8B,default,0,,virology,person,25,0,21,46,54.35
qwen3,8B,default,0,,world religions,world religions expert,21,0,38,59,35.59
qwen3,8B,default,0,,world religions,non world religions expert,20,0,39,59,33.9
qwen3,8B,default,0,,world religions,world religions student,19,0,40,59,32.2
qwen3,8B,default,0,,world religions,person,21,0,38,59,35.59
