model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
qwen3,8B,4,17,26,20,Finance,confident,27,0,47,74,36.49,default,0,
qwen3,8B,4,17,26,20,Finance,unconfident,28,0,46,74,37.84,default,0,
qwen3,8B,4,17,26,20,Finance,finance student,26,0,48,74,35.14,default,0,
qwen3,8B,4,17,26,20,Finance,person,27,0,47,74,36.49,default,0,
qwen3,8B,4,17,26,20,FluidMechanics,confident,22,0,43,65,33.85,default,0,
qwen3,8B,4,17,26,20,FluidMechanics,unconfident,24,0,41,65,36.92,default,0,
qwen3,8B,4,17,26,20,FluidMechanics,fluidmechanics student,20,0,45,65,30.77,default,0,
qwen3,8B,4,17,26,20,FluidMechanics,person,24,0,41,65,36.92,default,0,
qwen3,8B,4,17,26,20,Genetics,confident,82,0,65,147,55.78,default,0,
qwen3,8B,4,17,26,20,Genetics,unconfident,81,0,66,147,55.1,default,0,
qwen3,8B,4,17,26,20,Genetics,genetics student,81,0,66,147,55.1,default,0,
qwen3,8B,4,17,26,20,Genetics,person,81,0,66,147,55.1,default,0,
qwen3,8B,4,17,26,20,HeatTransfer,confident,28,0,38,66,42.42,default,0,
qwen3,8B,4,17,26,20,HeatTransfer,unconfident,31,0,35,66,46.97,default,0,
qwen3,8B,4,17,26,20,HeatTransfer,heattransfer student,25,0,41,66,37.88,default,0,
qwen3,8B,4,17,26,20,HeatTransfer,person,30,0,36,66,45.45,default,0,
qwen3,8B,4,17,26,20,MachineDesign,confident,20,0,50,70,28.57,default,0,
qwen3,8B,4,17,26,20,MachineDesign,unconfident,22,0,48,70,31.43,default,0,
qwen3,8B,4,17,26,20,MachineDesign,machinedesign student,19,0,51,70,27.14,default,0,
qwen3,8B,4,17,26,20,MachineDesign,person,21,0,49,70,30.0,default,0,
qwen3,8B,4,17,26,20,Math,confident,88,0,256,344,25.58,default,0,
qwen3,8B,4,17,26,20,Math,unconfident,101,0,243,344,29.36,default,0,
qwen3,8B,4,17,26,20,Math,math student,92,0,252,344,26.74,default,0,
qwen3,8B,4,17,26,20,Math,person,97,0,247,344,28.2,default,0,
qwen3,8B,4,17,26,20,Mechanics,confident,11,0,22,33,33.33,default,0,
qwen3,8B,4,17,26,20,Mechanics,unconfident,11,0,22,33,33.33,default,0,
qwen3,8B,4,17,26,20,Mechanics,mechanics student,12,0,21,33,36.36,default,0,
qwen3,8B,4,17,26,20,Mechanics,person,11,0,22,33,33.33,default,0,
qwen3,8B,4,17,26,20,Optics,confident,51,0,142,193,26.42,default,0,
qwen3,8B,4,17,26,20,Optics,unconfident,55,0,138,193,28.5,default,0,
qwen3,8B,4,17,26,20,Optics,optics student,48,0,145,193,24.87,default,0,
qwen3,8B,4,17,26,20,Optics,person,48,0,145,193,24.87,default,0,
qwen3,8B,4,17,26,20,OrganicChemistry,confident,7,0,10,17,41.18,default,0,
qwen3,8B,4,17,26,20,OrganicChemistry,unconfident,6,0,11,17,35.29,default,0,
qwen3,8B,4,17,26,20,OrganicChemistry,organicchemistry student,6,0,11,17,35.29,default,0,
qwen3,8B,4,17,26,20,OrganicChemistry,person,7,0,10,17,41.18,default,0,
qwen3,8B,4,17,26,20,PhysicalChemistry,confident,78,0,138,216,36.11,default,0,
qwen3,8B,4,17,26,20,PhysicalChemistry,unconfident,85,0,131,216,39.35,default,0,
qwen3,8B,4,17,26,20,PhysicalChemistry,physicalchemistry student,79,0,137,216,36.57,default,0,
qwen3,8B,4,17,26,20,PhysicalChemistry,person,75,0,141,216,34.72,default,0,
qwen3,8B,4,17,26,20,Physics,confident,177,0,318,495,35.76,default,0,
qwen3,8B,4,17,26,20,Physics,unconfident,181,0,314,495,36.57,default,0,
qwen3,8B,4,17,26,20,Physics,physics student,176,0,319,495,35.56,default,0,
qwen3,8B,4,17,26,20,Physics,person,171,0,324,495,34.55,default,0,
qwen3,8B,4,17,26,20,Psychology,confident,241,0,64,305,79.02,default,0,
qwen3,8B,4,17,26,20,Psychology,unconfident,243,0,62,305,79.67,default,0,
qwen3,8B,4,17,26,20,Psychology,psychology student,244,0,61,305,80.0,default,0,
qwen3,8B,4,17,26,20,Psychology,person,247,0,58,305,80.98,default,0,
qwen3,8B,4,17,26,20,Thermodynamics,confident,73,0,96,169,43.2,default,0,
qwen3,8B,4,17,26,20,Thermodynamics,unconfident,78,0,91,169,46.15,default,0,
qwen3,8B,4,17,26,20,Thermodynamics,thermodynamics student,72,0,97,169,42.6,default,0,
qwen3,8B,4,17,26,20,Thermodynamics,person,71,0,98,169,42.01,default,0,
qwen3,8B,4,17,26,20,TransportPhenomena,confident,66,0,82,148,44.59,default,0,
qwen3,8B,4,17,26,20,TransportPhenomena,unconfident,71,0,77,148,47.97,default,0,
qwen3,8B,4,17,26,20,TransportPhenomena,transportphenomena student,57,0,91,148,38.51,default,0,
qwen3,8B,4,17,26,20,TransportPhenomena,person,64,0,84,148,43.24,default,0,
qwen3,8B,4,17,26,20,abstract algebra,confident,33,0,50,83,39.76,default,0,
qwen3,8B,4,17,26,20,abstract algebra,unconfident,30,0,53,83,36.14,default,0,
qwen3,8B,4,17,26,20,abstract algebra,abstract algebra student,34,0,49,83,40.96,default,0,
qwen3,8B,4,17,26,20,abstract algebra,person,34,0,49,83,40.96,default,0,
qwen3,8B,4,17,26,20,anatomy,confident,31,0,48,79,39.24,default,0,
qwen3,8B,4,17,26,20,anatomy,unconfident,31,0,48,79,39.24,default,0,
qwen3,8B,4,17,26,20,anatomy,anatomy student,29,0,50,79,36.71,default,0,
qwen3,8B,4,17,26,20,anatomy,person,32,0,47,79,40.51,default,0,
qwen3,8B,4,17,26,20,astronomy,confident,49,0,31,80,61.25,default,0,
qwen3,8B,4,17,26,20,astronomy,unconfident,51,0,29,80,63.75,default,0,
qwen3,8B,4,17,26,20,astronomy,astronomy student,48,0,32,80,60.0,default,0,
qwen3,8B,4,17,26,20,astronomy,person,49,0,31,80,61.25,default,0,
qwen3,8B,4,17,26,20,atkins,confident,30,0,71,101,29.7,default,0,
qwen3,8B,4,17,26,20,atkins,unconfident,32,0,69,101,31.68,default,0,
qwen3,8B,4,17,26,20,atkins,atkins student,28,0,73,101,27.72,default,0,
qwen3,8B,4,17,26,20,atkins,person,27,0,74,101,26.73,default,0,
qwen3,8B,4,17,26,20,business ethics,confident,21,0,22,43,48.84,default,0,
qwen3,8B,4,17,26,20,business ethics,unconfident,21,0,22,43,48.84,default,0,
qwen3,8B,4,17,26,20,business ethics,business ethics student,22,0,21,43,51.16,default,0,
qwen3,8B,4,17,26,20,business ethics,person,21,0,22,43,48.84,default,0,
qwen3,8B,4,17,26,20,calculus,confident,12,0,28,40,30.0,default,0,
qwen3,8B,4,17,26,20,calculus,unconfident,14,0,26,40,35.0,default,0,
qwen3,8B,4,17,26,20,calculus,calculus student,13,0,27,40,32.5,default,0,
qwen3,8B,4,17,26,20,calculus,person,13,0,27,40,32.5,default,0,
qwen3,8B,4,17,26,20,chemmc,confident,11,0,22,33,33.33,default,0,
qwen3,8B,4,17,26,20,chemmc,unconfident,12,0,21,33,36.36,default,0,
qwen3,8B,4,17,26,20,chemmc,chemmc student,12,0,21,33,36.36,default,0,
qwen3,8B,4,17,26,20,chemmc,person,11,0,22,33,33.33,default,0,
qwen3,8B,4,17,26,20,class,confident,9,0,36,45,20.0,default,0,
qwen3,8B,4,17,26,20,class,unconfident,10,0,35,45,22.22,default,0,
qwen3,8B,4,17,26,20,class,class student,8,0,37,45,17.78,default,0,
qwen3,8B,4,17,26,20,class,person,7,0,38,45,15.56,default,0,
qwen3,8B,4,17,26,20,clinical knowledge,confident,39,0,33,72,54.17,default,0,
qwen3,8B,4,17,26,20,clinical knowledge,unconfident,36,0,36,72,50.0,default,0,
qwen3,8B,4,17,26,20,clinical knowledge,clinical knowledge student,40,0,32,72,55.56,default,0,
qwen3,8B,4,17,26,20,clinical knowledge,person,40,0,32,72,55.56,default,0,
qwen3,8B,4,17,26,20,college biology,confident,46,0,33,79,58.23,default,0,
qwen3,8B,4,17,26,20,college biology,unconfident,40,0,39,79,50.63,default,0,
qwen3,8B,4,17,26,20,college biology,college biology student,45,0,34,79,56.96,default,0,
qwen3,8B,4,17,26,20,college biology,person,44,0,35,79,55.7,default,0,
qwen3,8B,4,17,26,20,college chemistry,confident,23,0,40,63,36.51,default,0,
qwen3,8B,4,17,26,20,college chemistry,unconfident,21,0,42,63,33.33,default,0,
qwen3,8B,4,17,26,20,college chemistry,college chemistry student,21,0,42,63,33.33,default,0,
qwen3,8B,4,17,26,20,college chemistry,person,22,0,41,63,34.92,default,0,
qwen3,8B,4,17,26,20,college computer science,confident,31,0,45,76,40.79,default,0,
qwen3,8B,4,17,26,20,college computer science,unconfident,32,0,44,76,42.11,default,0,
qwen3,8B,4,17,26,20,college computer science,college computer science student,30,0,46,76,39.47,default,0,
qwen3,8B,4,17,26,20,college computer science,person,32,0,44,76,42.11,default,0,
qwen3,8B,4,17,26,20,college mathematics,confident,23,0,51,74,31.08,default,0,
qwen3,8B,4,17,26,20,college mathematics,unconfident,24,0,50,74,32.43,default,0,
qwen3,8B,4,17,26,20,college mathematics,college mathematics student,22,0,52,74,29.73,default,0,
qwen3,8B,4,17,26,20,college mathematics,person,23,0,51,74,31.08,default,0,
qwen3,8B,4,17,26,20,college medicine,confident,29,0,19,48,60.42,default,0,
qwen3,8B,4,17,26,20,college medicine,unconfident,30,0,18,48,62.5,default,0,
qwen3,8B,4,17,26,20,college medicine,college medicine student,31,0,17,48,64.58,default,0,
qwen3,8B,4,17,26,20,college medicine,person,31,0,17,48,64.58,default,0,
qwen3,8B,4,17,26,20,college physics,confident,21,0,47,68,30.88,default,0,
qwen3,8B,4,17,26,20,college physics,unconfident,22,0,46,68,32.35,default,0,
qwen3,8B,4,17,26,20,college physics,college physics student,22,0,46,68,32.35,default,0,
qwen3,8B,4,17,26,20,college physics,person,22,0,46,68,32.35,default,0,
qwen3,8B,4,17,26,20,computer security,confident,24,0,22,46,52.17,default,0,
qwen3,8B,4,17,26,20,computer security,unconfident,25,0,21,46,54.35,default,0,
qwen3,8B,4,17,26,20,computer security,computer security student,25,0,21,46,54.35,default,0,
qwen3,8B,4,17,26,20,computer security,person,25,0,21,46,54.35,default,0,
qwen3,8B,4,17,26,20,conceptual physics,confident,81,0,55,136,59.56,default,0,
qwen3,8B,4,17,26,20,conceptual physics,unconfident,75,0,61,136,55.15,default,0,
qwen3,8B,4,17,26,20,conceptual physics,conceptual physics student,84,0,52,136,61.76,default,0,
qwen3,8B,4,17,26,20,conceptual physics,person,79,0,57,136,58.09,default,0,
qwen3,8B,4,17,26,20,diff,confident,17,0,33,50,34.0,default,0,
qwen3,8B,4,17,26,20,diff,unconfident,18,0,32,50,36.0,default,0,
qwen3,8B,4,17,26,20,diff,diff student,16,0,34,50,32.0,default,0,
qwen3,8B,4,17,26,20,diff,person,15,0,35,50,30.0,default,0,
qwen3,8B,4,17,26,20,econometrics,confident,39,0,46,85,45.88,default,0,
qwen3,8B,4,17,26,20,econometrics,unconfident,38,0,47,85,44.71,default,0,
qwen3,8B,4,17,26,20,econometrics,econometrics student,35,0,50,85,41.18,default,0,
qwen3,8B,4,17,26,20,econometrics,person,41,0,44,85,48.24,default,0,
qwen3,8B,4,17,26,20,electrical engineering,confident,25,0,42,67,37.31,default,0,
qwen3,8B,4,17,26,20,electrical engineering,unconfident,27,0,40,67,40.3,default,0,
qwen3,8B,4,17,26,20,electrical engineering,electrical engineering student,29,0,38,67,43.28,default,0,
qwen3,8B,4,17,26,20,electrical engineering,person,25,0,42,67,37.31,default,0,
qwen3,8B,4,17,26,20,elementary mathematics,confident,150,0,154,304,49.34,default,0,
qwen3,8B,4,17,26,20,elementary mathematics,unconfident,155,0,149,304,50.99,default,0,
qwen3,8B,4,17,26,20,elementary mathematics,elementary mathematics student,152,0,152,304,50.0,default,0,
qwen3,8B,4,17,26,20,elementary mathematics,person,143,0,161,304,47.04,default,0,
qwen3,8B,4,17,26,20,formal logic,confident,36,0,62,98,36.73,default,0,
qwen3,8B,4,17,26,20,formal logic,unconfident,42,0,56,98,42.86,default,0,
qwen3,8B,4,17,26,20,formal logic,formal logic student,33,0,65,98,33.67,default,0,
qwen3,8B,4,17,26,20,formal logic,person,35,0,63,98,35.71,default,0,
qwen3,8B,4,17,26,20,fund,confident,10,0,57,67,14.93,default,0,
qwen3,8B,4,17,26,20,fund,unconfident,9,0,58,67,13.43,default,0,
qwen3,8B,4,17,26,20,fund,fund student,11,0,56,67,16.42,default,0,
qwen3,8B,4,17,26,20,fund,person,12,0,55,67,17.91,default,0,
qwen3,8B,4,17,26,20,global facts,confident,18,0,66,84,21.43,default,0,
qwen3,8B,4,17,26,20,global facts,unconfident,19,0,65,84,22.62,default,0,
qwen3,8B,4,17,26,20,global facts,global facts student,18,0,66,84,21.43,default,0,
qwen3,8B,4,17,26,20,global facts,person,24,0,60,84,28.57,default,0,
qwen3,8B,4,17,26,20,high school biology,confident,100,0,40,140,71.43,default,0,
qwen3,8B,4,17,26,20,high school biology,unconfident,96,0,44,140,68.57,default,0,
qwen3,8B,4,17,26,20,high school biology,high school biology student,99,0,41,140,70.71,default,0,
qwen3,8B,4,17,26,20,high school biology,person,100,0,40,140,71.43,default,0,
qwen3,8B,4,17,26,20,high school chemistry,confident,60,0,55,115,52.17,default,0,
qwen3,8B,4,17,26,20,high school chemistry,unconfident,63,0,52,115,54.78,default,0,
qwen3,8B,4,17,26,20,high school chemistry,high school chemistry student,59,0,56,115,51.3,default,0,
qwen3,8B,4,17,26,20,high school chemistry,person,59,0,56,115,51.3,default,0,
qwen3,8B,4,17,26,20,high school computer science,confident,36,0,26,62,58.06,default,0,
qwen3,8B,4,17,26,20,high school computer science,unconfident,37,0,25,62,59.68,default,0,
qwen3,8B,4,17,26,20,high school computer science,high school computer science student,35,0,27,62,56.45,default,0,
qwen3,8B,4,17,26,20,high school computer science,person,38,0,24,62,61.29,default,0,
qwen3,8B,4,17,26,20,high school european history,confident,26,0,43,69,37.68,default,0,
qwen3,8B,4,17,26,20,high school european history,unconfident,25,0,44,69,36.23,default,0,
qwen3,8B,4,17,26,20,high school european history,high school european history student,26,0,43,69,37.68,default,0,
qwen3,8B,4,17,26,20,high school european history,person,25,0,44,69,36.23,default,0,
qwen3,8B,4,17,26,20,high school geography,confident,38,0,27,65,58.46,default,0,
qwen3,8B,4,17,26,20,high school geography,unconfident,34,0,31,65,52.31,default,0,
qwen3,8B,4,17,26,20,high school geography,high school geography student,39,0,26,65,60.0,default,0,
qwen3,8B,4,17,26,20,high school geography,person,37,0,28,65,56.92,default,0,
qwen3,8B,4,17,26,20,high school government and politics,confident,38,0,13,51,74.51,default,0,
qwen3,8B,4,17,26,20,high school government and politics,unconfident,35,0,16,51,68.63,default,0,
qwen3,8B,4,17,26,20,high school government and politics,high school government and politics student,37,0,14,51,72.55,default,0,
qwen3,8B,4,17,26,20,high school government and politics,person,37,0,14,51,72.55,default,0,
qwen3,8B,4,17,26,20,high school macroeconomics,confident,112,0,104,216,51.85,default,0,
qwen3,8B,4,17,26,20,high school macroeconomics,unconfident,106,0,110,216,49.07,default,0,
qwen3,8B,4,17,26,20,high school macroeconomics,high school macroeconomics student,108,0,108,216,50.0,default,0,
qwen3,8B,4,17,26,20,high school macroeconomics,person,114,0,102,216,52.78,default,0,
qwen3,8B,4,17,26,20,high school mathematics,confident,64,0,178,242,26.45,default,0,
qwen3,8B,4,17,26,20,high school mathematics,unconfident,65,0,177,242,26.86,default,0,
qwen3,8B,4,17,26,20,high school mathematics,high school mathematics student,59,0,183,242,24.38,default,0,
qwen3,8B,4,17,26,20,high school mathematics,person,62,0,180,242,25.62,default,0,
qwen3,8B,4,17,26,20,high school microeconomics,confident,87,0,56,143,60.84,default,0,
qwen3,8B,4,17,26,20,high school microeconomics,unconfident,88,0,55,143,61.54,default,0,
qwen3,8B,4,17,26,20,high school microeconomics,high school microeconomics student,90,0,53,143,62.94,default,0,
qwen3,8B,4,17,26,20,high school microeconomics,person,91,0,52,143,63.64,default,0,
qwen3,8B,4,17,26,20,high school physics,confident,54,0,73,127,42.52,default,0,
qwen3,8B,4,17,26,20,high school physics,unconfident,56,0,71,127,44.09,default,0,
qwen3,8B,4,17,26,20,high school physics,high school physics student,56,0,71,127,44.09,default,0,
qwen3,8B,4,17,26,20,high school physics,person,55,0,72,127,43.31,default,0,
qwen3,8B,4,17,26,20,high school psychology,confident,93,0,76,169,55.03,default,0,
qwen3,8B,4,17,26,20,high school psychology,unconfident,98,0,71,169,57.99,default,0,
qwen3,8B,4,17,26,20,high school psychology,high school psychology student,100,0,69,169,59.17,default,0,
qwen3,8B,4,17,26,20,high school psychology,person,98,0,71,169,57.99,default,0,
qwen3,8B,4,17,26,20,high school statistics,confident,75,0,68,143,52.45,default,0,
qwen3,8B,4,17,26,20,high school statistics,unconfident,72,0,71,143,50.35,default,0,
qwen3,8B,4,17,26,20,high school statistics,high school statistics student,73,0,70,143,51.05,default,0,
qwen3,8B,4,17,26,20,high school statistics,person,74,0,69,143,51.75,default,0,
qwen3,8B,4,17,26,20,high school us history,confident,30,0,53,83,36.14,default,0,
qwen3,8B,4,17,26,20,high school us history,unconfident,30,0,53,83,36.14,default,0,
qwen3,8B,4,17,26,20,high school us history,high school us history student,31,0,52,83,37.35,default,0,
qwen3,8B,4,17,26,20,high school us history,person,31,0,52,83,37.35,default,0,
qwen3,8B,4,17,26,20,high school world history,confident,46,0,38,84,54.76,default,0,
qwen3,8B,4,17,26,20,high school world history,unconfident,45,0,39,84,53.57,default,0,
qwen3,8B,4,17,26,20,high school world history,high school world history student,45,0,39,84,53.57,default,0,
qwen3,8B,4,17,26,20,high school world history,person,48,0,36,84,57.14,default,0,
qwen3,8B,4,17,26,20,human aging,confident,32,0,54,86,37.21,default,0,
qwen3,8B,4,17,26,20,human aging,unconfident,33,0,53,86,38.37,default,0,
qwen3,8B,4,17,26,20,human aging,human aging student,34,0,52,86,39.53,default,0,
qwen3,8B,4,17,26,20,human aging,person,32,0,54,86,37.21,default,0,
qwen3,8B,4,17,26,20,human sexuality,confident,21,0,32,53,39.62,default,0,
qwen3,8B,4,17,26,20,human sexuality,unconfident,21,0,32,53,39.62,default,0,
qwen3,8B,4,17,26,20,human sexuality,human sexuality student,21,0,32,53,39.62,default,0,
qwen3,8B,4,17,26,20,human sexuality,person,21,0,32,53,39.62,default,0,
qwen3,8B,4,17,26,20,international law,confident,26,0,29,55,47.27,default,0,
qwen3,8B,4,17,26,20,international law,unconfident,23,0,32,55,41.82,default,0,
qwen3,8B,4,17,26,20,international law,international law student,23,0,32,55,41.82,default,0,
qwen3,8B,4,17,26,20,international law,person,21,0,34,55,38.18,default,0,
qwen3,8B,4,17,26,20,jurisprudence,confident,16,0,27,43,37.21,default,0,
qwen3,8B,4,17,26,20,jurisprudence,unconfident,15,0,28,43,34.88,default,0,
qwen3,8B,4,17,26,20,jurisprudence,jurisprudence student,17,0,26,43,39.53,default,0,
qwen3,8B,4,17,26,20,jurisprudence,person,17,0,26,43,39.53,default,0,
qwen3,8B,4,17,26,20,logical fallacies,confident,43,0,30,73,58.9,default,0,
qwen3,8B,4,17,26,20,logical fallacies,unconfident,45,0,28,73,61.64,default,0,
qwen3,8B,4,17,26,20,logical fallacies,logical fallacies student,42,0,31,73,57.53,default,0,
qwen3,8B,4,17,26,20,logical fallacies,person,43,0,30,73,58.9,default,0,
qwen3,8B,4,17,26,20,machine learning,confident,31,0,59,90,34.44,default,0,
qwen3,8B,4,17,26,20,machine learning,unconfident,33,0,57,90,36.67,default,0,
qwen3,8B,4,17,26,20,machine learning,machine learning student,33,0,57,90,36.67,default,0,
qwen3,8B,4,17,26,20,machine learning,person,35,0,55,90,38.89,default,0,
qwen3,8B,4,17,26,20,management,confident,20,0,17,37,54.05,default,0,
qwen3,8B,4,17,26,20,management,unconfident,23,0,14,37,62.16,default,0,
qwen3,8B,4,17,26,20,management,management student,25,0,12,37,67.57,default,0,
qwen3,8B,4,17,26,20,management,person,23,0,14,37,62.16,default,0,
qwen3,8B,4,17,26,20,marketing,confident,41,0,34,75,54.67,default,0,
qwen3,8B,4,17,26,20,marketing,unconfident,46,0,29,75,61.33,default,0,
qwen3,8B,4,17,26,20,marketing,marketing student,44,0,31,75,58.67,default,0,
qwen3,8B,4,17,26,20,marketing,person,46,0,29,75,61.33,default,0,
qwen3,8B,4,17,26,20,matter,confident,10,0,37,47,21.28,default,0,
qwen3,8B,4,17,26,20,matter,unconfident,11,0,36,47,23.4,default,0,
qwen3,8B,4,17,26,20,matter,matter student,9,0,38,47,19.15,default,0,
qwen3,8B,4,17,26,20,matter,person,8,0,39,47,17.02,default,0,
qwen3,8B,4,17,26,20,medical genetics,confident,35,0,19,54,64.81,default,0,
qwen3,8B,4,17,26,20,medical genetics,unconfident,34,0,20,54,62.96,default,0,
qwen3,8B,4,17,26,20,medical genetics,medical genetics student,35,0,19,54,64.81,default,0,
qwen3,8B,4,17,26,20,medical genetics,person,35,0,19,54,64.81,default,0,
qwen3,8B,4,17,26,20,miscellaneous,confident,131,0,134,265,49.43,default,0,
qwen3,8B,4,17,26,20,miscellaneous,unconfident,137,0,128,265,51.7,default,0,
qwen3,8B,4,17,26,20,miscellaneous,miscellaneous student,138,0,127,265,52.08,default,0,
qwen3,8B,4,17,26,20,miscellaneous,person,135,0,130,265,50.94,default,0,
qwen3,8B,4,17,26,20,moral disputes,confident,38,0,101,139,27.34,default,0,
qwen3,8B,4,17,26,20,moral disputes,unconfident,41,0,98,139,29.5,default,0,
qwen3,8B,4,17,26,20,moral disputes,moral disputes student,43,0,96,139,30.94,default,0,
qwen3,8B,4,17,26,20,moral disputes,person,36,0,103,139,25.9,default,0,
qwen3,8B,4,17,26,20,nutrition,confident,101,0,78,179,56.42,default,0,
qwen3,8B,4,17,26,20,nutrition,unconfident,109,0,70,179,60.89,default,0,
qwen3,8B,4,17,26,20,nutrition,nutrition student,105,0,74,179,58.66,default,0,
qwen3,8B,4,17,26,20,nutrition,person,101,0,78,179,56.42,default,0,
qwen3,8B,4,17,26,20,philosophy,confident,43,0,87,130,33.08,default,0,
qwen3,8B,4,17,26,20,philosophy,unconfident,52,0,78,130,40.0,default,0,
qwen3,8B,4,17,26,20,philosophy,philosophy student,50,0,80,130,38.46,default,0,
qwen3,8B,4,17,26,20,philosophy,person,44,0,86,130,33.85,default,0,
qwen3,8B,4,17,26,20,prehistory,confident,74,0,71,145,51.03,default,0,
qwen3,8B,4,17,26,20,prehistory,unconfident,74,0,71,145,51.03,default,0,
qwen3,8B,4,17,26,20,prehistory,prehistory student,79,0,66,145,54.48,default,0,
qwen3,8B,4,17,26,20,prehistory,person,78,0,67,145,53.79,default,0,
qwen3,8B,4,17,26,20,professional accounting,confident,57,0,138,195,29.23,default,0,
qwen3,8B,4,17,26,20,professional accounting,unconfident,61,0,134,195,31.28,default,0,
qwen3,8B,4,17,26,20,professional accounting,professional accounting student,62,0,133,195,31.79,default,0,
qwen3,8B,4,17,26,20,professional accounting,person,62,0,133,195,31.79,default,0,
qwen3,8B,4,17,26,20,professional law,confident,291,0,712,1003,29.01,default,0,
qwen3,8B,4,17,26,20,professional law,unconfident,297,0,706,1003,29.61,default,0,
qwen3,8B,4,17,26,20,professional law,professional law student,292,0,711,1003,29.11,default,0,
qwen3,8B,4,17,26,20,professional law,person,287,0,716,1003,28.61,default,0,
qwen3,8B,4,17,26,20,professional medicine,confident,157,0,97,254,61.81,default,0,
qwen3,8B,4,17,26,20,professional medicine,unconfident,148,0,106,254,58.27,default,0,
qwen3,8B,4,17,26,20,professional medicine,professional medicine student,153,0,101,254,60.24,default,0,
qwen3,8B,4,17,26,20,professional medicine,person,158,0,96,254,62.2,default,0,
qwen3,8B,4,17,26,20,professional psychology,confident,139,0,185,324,42.9,default,0,
qwen3,8B,4,17,26,20,professional psychology,unconfident,145,0,179,324,44.75,default,0,
qwen3,8B,4,17,26,20,professional psychology,professional psychology student,144,0,180,324,44.44,default,0,
qwen3,8B,4,17,26,20,professional psychology,person,145,0,179,324,44.75,default,0,
qwen3,8B,4,17,26,20,public relations,confident,19,0,33,52,36.54,default,0,
qwen3,8B,4,17,26,20,public relations,unconfident,18,0,34,52,34.62,default,0,
qwen3,8B,4,17,26,20,public relations,public relations student,17,0,35,52,32.69,default,0,
qwen3,8B,4,17,26,20,public relations,person,17,0,35,52,32.69,default,0,
qwen3,8B,4,17,26,20,quan,confident,6,0,26,32,18.75,default,0,
qwen3,8B,4,17,26,20,quan,unconfident,7,0,25,32,21.88,default,0,
qwen3,8B,4,17,26,20,quan,quan student,7,0,25,32,21.88,default,0,
qwen3,8B,4,17,26,20,quan,person,7,0,25,32,21.88,default,0,
qwen3,8B,4,17,26,20,security studies,confident,37,0,50,87,42.53,default,0,
qwen3,8B,4,17,26,20,security studies,unconfident,41,0,46,87,47.13,default,0,
qwen3,8B,4,17,26,20,security studies,security studies student,35,0,52,87,40.23,default,0,
qwen3,8B,4,17,26,20,security studies,person,36,0,51,87,41.38,default,0,
qwen3,8B,4,17,26,20,sociology,confident,20,0,32,52,38.46,default,0,
qwen3,8B,4,17,26,20,sociology,unconfident,22,0,30,52,42.31,default,0,
qwen3,8B,4,17,26,20,sociology,sociology student,24,0,28,52,46.15,default,0,
qwen3,8B,4,17,26,20,sociology,person,20,0,32,52,38.46,default,0,
qwen3,8B,4,17,26,20,stat,confident,17,0,54,71,23.94,default,0,
qwen3,8B,4,17,26,20,stat,unconfident,20,0,51,71,28.17,default,0,
qwen3,8B,4,17,26,20,stat,stat student,17,0,54,71,23.94,default,0,
qwen3,8B,4,17,26,20,stat,person,15,0,56,71,21.13,default,0,
qwen3,8B,4,17,26,20,thermo,confident,14,0,41,55,25.45,default,0,
qwen3,8B,4,17,26,20,thermo,unconfident,18,0,37,55,32.73,default,0,
qwen3,8B,4,17,26,20,thermo,thermo student,16,0,39,55,29.09,default,0,
qwen3,8B,4,17,26,20,thermo,person,13,0,42,55,23.64,default,0,
qwen3,8B,4,17,26,20,us foreign policy,confident,9,0,11,20,45.0,default,0,
qwen3,8B,4,17,26,20,us foreign policy,unconfident,8,0,12,20,40.0,default,0,
qwen3,8B,4,17,26,20,us foreign policy,us foreign policy student,9,0,11,20,45.0,default,0,
qwen3,8B,4,17,26,20,us foreign policy,person,9,0,11,20,45.0,default,0,
qwen3,8B,4,17,26,20,virology,confident,27,0,19,46,58.7,default,0,
qwen3,8B,4,17,26,20,virology,unconfident,27,0,19,46,58.7,default,0,
qwen3,8B,4,17,26,20,virology,virology student,26,0,20,46,56.52,default,0,
qwen3,8B,4,17,26,20,virology,person,26,0,20,46,56.52,default,0,
qwen3,8B,4,17,26,20,world religions,confident,18,0,41,59,30.51,default,0,
qwen3,8B,4,17,26,20,world religions,unconfident,21,0,38,59,35.59,default,0,
qwen3,8B,4,17,26,20,world religions,world religions student,20,0,39,59,33.9,default,0,
qwen3,8B,4,17,26,20,world religions,person,22,0,37,59,37.29,default,0,
